"Type","User Name","Comment Text","Comment HTML","Attachments","Comment Id","Parent Id","Comment Depth","Replies Count","User Id","User Profile Picture","Created At","Scraped At"
"COMMENT","Sini bang tajir","#terbaru","#terbaru","","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5NzQ4NDMyNjkzNjQ1MzM=","","0","0","61576845891224","https://scontent.fsub6-7.fna.fbcdn.net/v/t39.30808-1/499781611_624490040604400_4400572157676700681_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=102&ccb=1-7&_nc_sid=111fe6&_nc_eui2=AeEsAgQ48XAlLQfpdYENieqZmK8v0qZ7AqaYry_SpnsCpufmDeb48pTWS8gpc4iVpBr5O8QElKmzpZ6WtcxyAjZn&_nc_ohc=zYK0XlwTIvQQ7kNvwHwggU7&_nc_oc=AdnRE6UfhCovXK7Qf__yD0EXTktETmtw7n-1SLUXKAGS9LLJ-_NdrS6dRTg4VVcPYIo&_nc_zt=24&_nc_ht=scontent.fsub6-7.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfMKa-Z84YX91w385gsYMCiv_1Ja06cmwSipbkykNq8I6w&oe=685DCAB0","2025-06-10T04:02:53.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Kopi Mix","@sorotan","@sorotan","","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5NzcwMzQwODU4MTIxMTg=","","0","0","61572360668687","https://scontent.fsub6-7.fna.fbcdn.net/v/t39.30808-1/475113879_122100627212745355_2332490362069479915_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGfm73yHTzzdVO0UfaDBdCcptiO7bR5Gw-m2I7ttHkbD0fuA7w5nGEjR7IcJ_vb6s2if-z4ro-JbZwY51b6viuR&_nc_ohc=FjiQ_egbjccQ7kNvwEa7PhP&_nc_oc=AdlH09pUDSSO958ZHg3zwzOStk-CYP5eg1pCAYLuh-JpcM3rvi-Md6GW3xiiwebVMgI&_nc_zt=24&_nc_ht=scontent.fsub6-7.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfOcSlDf0hxusl8eUf4r6i7vf6wog6HtOR0GGT_chuOtNg&oe=685DDB26","2025-06-11T09:35:46.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Kopi Mix","Superspin 
https://s.id/Superspintopbro","Superspin 
<a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fs.id%2FSuperspintopbro&h=AT0kYRhvBTKakX82MFn681UZyeeHRqn2zqNSmow6TP_QcG6jEhRAKIkqeYTRLNbG4kn1Gxz72mhed4AJQB3WiurXEPkAcseN-WpoQT4_4UASlXjGv9ujzqS-947vNttUa7FxNgR4P3F7yv2k&s=1"" target=""_blank"">https://s.id/Superspintopbro</a>","https://scontent.fsub6-1.fna.fbcdn.net/v/t39.30808-6/506036400_122130158792745355_1983094631493434750_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=bd9a62&_nc_eui2=AeECRtYCZUo5al3fLRcVbayxqsT0oYAv7jyqxPShgC_uPLfocsaGUXCwWIOnBqtqLFcQkA9n4DndwKtCKdAcYZDw&_nc_ohc=xV4OlWIf7aQQ7kNvwFAvIzs&_nc_oc=AdlyBgNzG-Uw3NQd0tL5bVtTaIxG7UoxA8A3gQBh42Kmh45ei6etJAph7QBhaDbm7xA&_nc_zt=23&_nc_ht=scontent.fsub6-1.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfMazv_H43lcAauHyzpkRt6JSDTEBFQ5H_kMkuA2QL0Q0g&oe=685DD5FA","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5NzcwMzQ4ODU4MTIwMzg=","","0","0","61572360668687","https://scontent.fsub6-7.fna.fbcdn.net/v/t39.30808-1/475113879_122100627212745355_2332490362069479915_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGfm73yHTzzdVO0UfaDBdCcptiO7bR5Gw-m2I7ttHkbD0fuA7w5nGEjR7IcJ_vb6s2if-z4ro-JbZwY51b6viuR&_nc_ohc=FjiQ_egbjccQ7kNvwEa7PhP&_nc_oc=AdlH09pUDSSO958ZHg3zwzOStk-CYP5eg1pCAYLuh-JpcM3rvi-Md6GW3xiiwebVMgI&_nc_zt=24&_nc_ht=scontent.fsub6-7.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfOcSlDf0hxusl8eUf4r6i7vf6wog6HtOR0GGT_chuOtNg&oe=685DDB26","2025-06-11T09:36:43.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Kopi Mix","Svip2
https://www.svip2f.com?chn=bnRfc3ZpcDJfY20y&id=NDM4OTc5NDky","Svip2
<a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.svip2f.com%2F%3Fchn%3DbnRfc3ZpcDJfY20y%26id%3DNDM4OTc5NDky&h=AT0e41Yyqic85cCOhgAk4zRnwcj0FuF66OfWYotJ_3wZv2wndH2JtEMDkxNmTDG--Fs0fRZ-eX7Pte0EDoFCr9wZddBFbiDJ5CmJUcMl5nBeEjRl5Mjwplq4ZVe9pQT693JtcjP2moN9pkJW&s=1"" target=""_blank"">https://www.svip2f.com?chn=bnRfc3ZpcDJfY20y&id=NDM4OTc5NDky</a>","https://external.fsub6-3.fna.fbcdn.net/emg1/v/t13/11646688246942167837?url=https%3A%2F%2Fimages.kdowf.com%2Fimage%2Fweb_back%2FlandingPage%2F2025-01-12%2F1736674810129%26UZGQ67KW3C.jpg%3Fwidth%3D16%26priority%3Dundefined&fb_obo=1&utld=kdowf.com&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75_tt6&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&_nc_eui2=AeGUrYZtynpF8OdTlzuh0VDrO6X-qXPuH407pf6pc-4fjRj2wqEUiywa1UT-M2A60HblE4DHY2divzA-IZerFgmr&_nc_oc=AdnnFkiJ3Z2IpfuSBJQsmhmSGO4eX9YkNzkcMVjgdVGEKxKvSLpIBvp-vLzgQwFseuw&ccb=13-1&oh=06_Q3-0AfmGkM_Pt1vw2-sgp_U5zoSF42NwvRXhXV1cwn4x0oDh&oe=6859DEEC&_nc_sid=c97757","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5NzcwNjU5MzU4MDg5MzM=","","0","0","61572360668687","https://scontent.fsub6-7.fna.fbcdn.net/v/t39.30808-1/475113879_122100627212745355_2332490362069479915_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGfm73yHTzzdVO0UfaDBdCcptiO7bR5Gw-m2I7ttHkbD0fuA7w5nGEjR7IcJ_vb6s2if-z4ro-JbZwY51b6viuR&_nc_ohc=FjiQ_egbjccQ7kNvwEa7PhP&_nc_oc=AdlH09pUDSSO958ZHg3zwzOStk-CYP5eg1pCAYLuh-JpcM3rvi-Md6GW3xiiwebVMgI&_nc_zt=24&_nc_ht=scontent.fsub6-7.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfOcSlDf0hxusl8eUf4r6i7vf6wog6HtOR0GGT_chuOtNg&oe=685DDB26","2025-06-11T10:08:00.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Kopi Mix","Gas","Gas","","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5NzcwNzg0MTU4MDc2ODU=","","0","0","61572360668687","https://scontent.fsub6-7.fna.fbcdn.net/v/t39.30808-1/475113879_122100627212745355_2332490362069479915_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGfm73yHTzzdVO0UfaDBdCcptiO7bR5Gw-m2I7ttHkbD0fuA7w5nGEjR7IcJ_vb6s2if-z4ro-JbZwY51b6viuR&_nc_ohc=FjiQ_egbjccQ7kNvwEa7PhP&_nc_oc=AdlH09pUDSSO958ZHg3zwzOStk-CYP5eg1pCAYLuh-JpcM3rvi-Md6GW3xiiwebVMgI&_nc_zt=24&_nc_ht=scontent.fsub6-7.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfOcSlDf0hxusl8eUf4r6i7vf6wog6HtOR0GGT_chuOtNg&oe=685DDB26","2025-06-11T10:20:53.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Putri Hasana","https://bigwinner6.com?chn=bnRfNzc3d2luX2Jn&id=Nzc0NTUwMTY2","<a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fbigwinner6.com%2F%3Fchn%3DbnRfNzc3d2luX2Jn%26id%3DNzc0NTUwMTY2&h=AT00HOZ6L7_ILa21d207PxL3tbcaciupj8tNkQrg8pt7Velqw37uDI9xb9M4EB2cdxO_FJ1BDSqg3B6r-qnYMqJiO_9u0G138Z8OFPmeVT-padDEgDLDmthcijA3lHRV1YwsVoc9u2yUSete&s=1"" target=""_blank"">https://bigwinner6.com?chn=bnRfNzc3d2luX2Jn&id=Nzc0NTUwMTY2</a>","https://scontent.fsub6-1.fna.fbcdn.net/v/t39.30808-6/506053769_1231835955006787_1258100655933365056_n.jpg?stp=dst-jpg_p100x100_tt6&_nc_cat=106&ccb=1-7&_nc_sid=bd9a62&_nc_eui2=AeELp6Qiv3MvI-eEEuhJqa1e72rUSh-efxDvatRKH55_ELk62w6mRucDCX7X7PBt1XmC6kuGq8Is4OWYSUt7wmIa&_nc_ohc=0gapgPJKFUAQ7kNvwFQ3GSp&_nc_oc=Adl_f6cltNtJOI5CXR1eHiCEHg2anERTuoyR2P4vLu2BWnoTYlGJKhuOa6fOU99hLZg&_nc_zt=23&_nc_ht=scontent.fsub6-1.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfP_dXPXXlFm2eOh27utWzA1Y4u3ZvERkBLo112eLU7bEw&oe=685DF190","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5Nzg4NDc5NzIyOTczOTY=","","0","0","100045411818595","https://scontent.fsub6-6.fna.fbcdn.net/v/t39.30808-1/480666213_1147963450060705_1488426971760577036_n.jpg?stp=c0.0.715.715a_cp0_dst-jpg_s50x50_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeGlFvT3sGNlyBxzzSYzg7NxkoPZ_2OGNBmSg9n_Y4Y0GazijkAavIjvIWBx3gJJAz8svEJIywLnASpZMQmgv3mZ&_nc_ohc=T5WucUVn_ucQ7kNvwEGcWsS&_nc_oc=Adm_TO6q1_0A3a8PlIy0E6A9jMsIfOuT-5Zi85N-QrdNFMaOWcnEUVJereG6Vak-6ag&_nc_zt=24&_nc_ht=scontent.fsub6-6.fna&_nc_gid=aS0GH3ZjBJrq0bLCg1Qi-g&oh=00_AfPti7SJi-Wl3VbrCfenGwuQ52t2MgYQzprLaIo2X-q9kQ&oe=685DC258","2025-06-12T12:29:02.000Z","2025-06-22T13:31:45.661Z"
"COMMENT","Mor Gan","https://www.8svipw.com?chn=OHN2aXBfaWQ3X250bGExMg==&id=ODMxNzY3Mjcy","<a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.8svipw.com%2F%3Fchn%3DOHN2aXBfaWQ3X250bGExMg%253D%253D%26id%3DODMxNzY3Mjcy&h=AT3A-45dtQPxa-tnPAAuJvPbmndIVt7RceYChJe7FvvCgc76UfA4e_OVF9OuV-3W01YMZlX-L_FPF_Ki-RcNOkW8lXjPLCWunk5x69Ie-IfWqPSAVvGXnLihRSzEKyvP4XBzxjzxSYNUczW4&s=1"" target=""_blank"">https://www.8svipw.com?chn=OHN2aXBfaWQ3X250bGExMg==&id=ODMxNzY3Mjcy</a>","https://external.fsub6-3.fna.fbcdn.net/emg1/v/t13/2713787042503581370?url=https%3A%2F%2Fimages.beuih.com%2Fimage%2Fweb_back%2FlandingPage%2F2025-05-14%2F1747221584631%2648XUEXTPD7.png%3Fwidth%3D16%26priority%3Dundefined&fb_obo=1&utld=beuih.com&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75_tt6&_nc_gid=GaGSgLppU10CHPNreVziWw&_nc_eui2=AeFo18QCQJqe2XREEJ6GepxtFscTI9Gq2pYWxxMj0aralvnP9YWpSxaxMPtrUo_lBBHJi0hwtSr7Syn-PDyiF1pQ&_nc_oc=AdmwLFIB3owyClcvxZ9XtgWm8wBAL-4yJ6UmFrKQbBMNpoNWEOupYTphRznPk6S-SRg&ccb=13-1&oh=06_Q3-0AeQYWxK-MVKjh3TZ3L28rMcWmYac7UarztZmgGMwPu_O&oe=6859FF51&_nc_sid=c97757","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5ODEzMDY4Mjg3MTgxNzc=","","0","0","100090695253973","https://scontent.fsub6-6.fna.fbcdn.net/v/t39.30808-1/467692287_513248121708359_8605239069992799284_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeHH5uHOCB5GZQjBTi7ZpBMuv7szga81nxq_uzOBrzWfGurmGhLKlCAucdkJDQzTMMvHP_IiV3LQGAZKkM2Wc0o6&_nc_ohc=t7wJkha51DMQ7kNvwE3kuXp&_nc_oc=AdlbgkUDcai4g8E5RmCxRNCXHsNDePCKgcN08WLXyeWO3KiYcb7kXvibcaTcQ7QNGh4&_nc_zt=24&_nc_ht=scontent.fsub6-6.fna&_nc_gid=GaGSgLppU10CHPNreVziWw&oh=00_AfMPP4tVnETQPS6bcGHvM2s5AtnsOyya4JgCqzkRbW3pVA&oe=685DE4CC","2025-06-13T20:23:22.000Z","2025-06-22T13:31:54.673Z"
"COMMENT","Angga Saputra","bangkai semua tu boskuuu","bangkai semua tu boskuuu","","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5ODIwNjQyMTUzMDkxMDU=","","0","0","100093959667200","https://scontent.fsub6-3.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s50x50&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_eui2=AeHOqtZNVALdn2MHOHqSzbBYWt9TLzuBU1Ba31MvO4FTUASV-n6VSik3Oy1-Dv_1quQ7LzkGAf22TosRpS6comjv&_nc_ohc=cngcqYQ8dQ0Q7kNvwHDZKup&_nc_oc=Adk85CgNUVBGsMAdyEUe41ZoNnXajpdawchMQMLm67o6SiQF8ZEA91lRY6GvvE5CbkI&_nc_zt=24&_nc_ht=scontent.fsub6-3.fna&oh=00_AfOMoqsM4nnVfHFGAsu4Of3Q5I2FVm5ozB7w_RjWKZ3pZA&oe=687F89FA","2025-06-14T05:14:06.000Z","2025-06-22T13:31:54.673Z"
"COMMENT","Riski","Svip 2 20x depo nggk bisa naik emng apk babi","Svip 2 20x depo nggk bisa naik emng apk babi","","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5ODI5NDk5MTE4ODcyMDI=","","0","2","100078289967295","https://scontent.fsub6-3.fna.fbcdn.net/v/t39.30808-1/274296269_107354651884200_7993150689493565333_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_eui2=AeHSRzPrH8MimslIEnBZ4BMdkhJbd3IT3DWSElt3chPcNYOv_6ol3qdlZSgvkg3dok-tvhnt03t_SMZBVgeOKMQ5&_nc_ohc=OP99P0dLDYgQ7kNvwFPspUJ&_nc_oc=AdmwkQnz_C4Iui-GGwZNBfXM4fUEkiJ_h8wYeQIo4MUFJ8ZiTlaJW1qdwEqOLe2d9fw&_nc_zt=24&_nc_ht=scontent.fsub6-3.fna&_nc_gid=GaGSgLppU10CHPNreVziWw&oh=00_AfO37vyYWGy2gkynq60f3N5PXBi2BA_3qmHM3hOYJSi_dg&oe=685DEAAA","2025-06-14T15:14:56.000Z","2025-06-22T13:31:54.673Z"
"COMMENT","RCahya","https://www.svip2f.com?chn=c3ZpcDJfaWQ4X250bGExMDY=&id=ODcyMDQzNDY3","<a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.svip2f.com%2F%3Fchn%3Dc3ZpcDJfaWQ4X250bGExMDY%253D%26id%3DODcyMDQzNDY3&h=AT103tfPpL-8DCYdYlHL9nTknB-qE4ZQ3bi5tQJ3m25qfNAUA29_aTfZF4rIVZkLLxZ9eeBaGGHHxkGFzP6w79G8VkaPLpct2Cgo22ZrXAHljmUvBoGL6kwnYndvBwYzKu2EVYxJ9F_RC9K2&s=1"" target=""_blank"">https://www.svip2f.com?chn=c3ZpcDJfaWQ4X250bGExMDY=&id=ODcyMDQzNDY3</a>","https://external.fsub6-3.fna.fbcdn.net/emg1/v/t13/11646688246942167837?url=https%3A%2F%2Fimages.kdowf.com%2Fimage%2Fweb_back%2FlandingPage%2F2025-01-12%2F1736674810129%26UZGQ67KW3C.jpg%3Fwidth%3D16%26priority%3Dundefined&fb_obo=1&utld=kdowf.com&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75_tt6&_nc_gid=GaGSgLppU10CHPNreVziWw&_nc_eui2=AeGUrYZtynpF8OdTlzuh0VDrO6X-qXPuH407pf6pc-4fjRj2wqEUiywa1UT-M2A60HblE4DHY2divzA-IZerFgmr&_nc_oc=AdnnFkiJ3Z2IpfuSBJQsmhmSGO4eX9YkNzkcMVjgdVGEKxKvSLpIBvp-vLzgQwFseuw&ccb=13-1&oh=06_Q3-0AdB8EjLnaSOSBBENM0rTf5BLgxppHx5DYy5s2IKHKaj0&oe=6859DEEC&_nc_sid=c97757","Y29tbWVudDoyOTc0ODQyOTQyNjk3ODk5XzI5ODQxODI3NTg0MzA1ODQ=","","0","0","100059537364760","https://scontent.fsub6-3.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s50x50&_nc_cat=1&ccb=1-7&_nc_sid=b224c7&_nc_eui2=AeHOqtZNVALdn2MHOHqSzbBYWt9TLzuBU1Ba31MvO4FTUASV-n6VSik3Oy1-Dv_1quQ7LzkGAf22TosRpS6comjv&_nc_ohc=cngcqYQ8dQ0Q7kNvwHDZKup&_nc_oc=Adk85CgNUVBGsMAdyEUe41ZoNnXajpdawchMQMLm67o6SiQF8ZEA91lRY6GvvE5CbkI&_nc_zt=24&_nc_ht=scontent.fsub6-3.fna&oh=00_AfOMoqsM4nnVfHFGAsu4Of3Q5I2FVm5ozB7w_RjWKZ3pZA&oe=687F89FA","2025-06-15T05:52:49.000Z","2025-06-22T13:31:54.673Z"
